ecephys_session_id,behavior_session_id,date_of_acquisition,equipment_name,session_type,mouse_id,genotype,sex,project_code,age_in_days,unit_count,probe_count,channel_count,structure_acronyms,image_set,prior_exposures_to_image_set,session_number,experience_level,prior_exposures_to_omissions,file_id,abnormal_histology,abnormal_activity
1121406444,1121438973,2021-08-11 13:49:36.212000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,574081,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,170,1924,6,2304,"['APN', 'CA1', 'CA2', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGd-ip', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGv', 'MRN', 'NB', 'POL', 'POST', 'PoT', 'PRE', 'ProS', 'root', 'SSp-bfd', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm']",G,45,1,Familiar,0,1006,,
1121607504,1121648067,2021-08-12 14:01:31.789000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,574081,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,171,1716,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGd-ip', 'LGd-sh', 'LP', 'LT', 'MB', 'MGd', 'MGm', 'NB', 'POST', 'PoT', 'PRE', 'ProS', 'root', 'SGN', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,1007,,
1122903357,1122933470,2021-08-18 13:33:50.720000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,570302,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,205,2280,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGd-sh', 'MB', 'MGd', 'MGm', 'MGv', 'NB', 'NOT', 'PIL', 'POST', 'PP', 'PRE', 'ProS', 'root', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,1,Novel,0,1008,,
1123100019,1123126929,2021-08-19 13:44:07.538000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,570302,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,206,1947,5,1920,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGd-co', 'LGd-sh', 'MB', 'MGd', 'MGm', 'MGv', 'NOT', 'root', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISpm', 'VISrl']",G,69,2,Familiar,1,1009,,
1124285719,1124315985,2021-08-25 13:55:58.475000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,577287,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,158,1801,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NB', 'NOT', 'POL', 'POST', 'PPT', 'PRE', 'root', 'SCig', 'SCiw', 'SGN', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,1,Novel,0,1010,,
1124507277,1124536942,2021-08-26 14:32:42.128000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,577287,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,159,2010,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'Eth', 'HPF', 'LP', 'MB', 'MGm', 'MGv', 'MRN', 'NB', 'NOT', 'PIL', 'POL', 'POST', 'PRE', 'ProS', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,42,2,Familiar,1,1011,,
1125713722,1125752903,2021-09-01 14:24:41.594000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,578257,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,157,2101,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'LT', 'MB', 'MRN', 'NB', 'POST', 'PoT', 'PRE', 'ProS', 'root', 'SCig', 'SGN', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,1,Novel,0,1012,,
1125937457,1125965838,2021-09-02 14:13:03.019000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,578257,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,158,1807,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'DT', 'HPF', 'LT', 'MB', 'MRN', 'POST', 'PoT', 'PRE', 'ProS', 'root', 'SGN', 'SUB', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,45,2,Familiar,1,1013,,
1128520325,1128557546,2021-09-15 14:12:33.506000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,585326,wt/wt,M,NeuropixelVisualBehavior,119,1862,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LP', 'MB', 'NOT', 'POL', 'POST', 'PPT', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,16,1,Familiar,0,1014,,
1128719842,1128774624,2021-09-16 13:51:43.599000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,585326,wt/wt,M,NeuropixelVisualBehavior,120,1798,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LP', 'MB', 'NOT', 'POL', 'POST', 'PoT', 'PPT', 'root', 'SCig', 'SCiw', 'SGN', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,1015,,
1130113579,1130191879,2021-09-22 14:15:18.173000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,579993,wt/wt,F,NeuropixelVisualBehavior,164,2341,6,2304,"['APN', 'CA1', 'CA2', 'CA3', 'DG-mo', 'DG-sg', 'DT', 'HPF', 'LGd-co', 'LGd-ip', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NOT', 'POST', 'PoT', 'ProS', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,45,1,Familiar,0,1016,,
1130349290,1130378962,2021-09-23 13:34:57.267000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,579993,wt/wt,F,NeuropixelVisualBehavior,165,1928,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-sg', 'HPF', 'LGd-co', 'LGd-sh', 'LP', 'MB', 'MGm', 'MGv', 'POST', 'PoT', 'root', 'SCig', 'SGN', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,1017,,
1139846596,1139969640,2021-11-10 15:08:35.544000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,585329,wt/wt,M,NeuropixelVisualBehavior,175,2274,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'PoT', 'PRE', 'ProS', 'root', 'SCig', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,49,1,Familiar,0,1018,,
1140102579,1153972744,2021-11-11 14:09:15.377000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,585329,wt/wt,M,NeuropixelVisualBehavior,176,1493,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'PRE', 'ProS', 'root', 'SCig', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,0,2,Novel,1,1019,,
1152632711,1152646832,2022-01-19 13:30:28.150000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,599294,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,145,1499,6,2304,"['CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'POST', 'ProS', 'root', 'VIS', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,26,1,Familiar,0,1020,,
1152811536,1152845816,2022-01-20 13:50:22.372000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,599294,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,146,1379,6,2304,"['CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'POST', 'PRE', 'ProS', 'root', 'SUB', 'VIS', 'VISam', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,1021,,
